@relation csvPartidos

@attribute surface {Hard,Clay,Grass}
@attribute P1_hand {R,L,U}
@attribute P2_hand {R,L,U}
@attribute P1_ht numeric
@attribute P2_ht numeric
@attribute P1_age numeric
@attribute P2_age numeric
@attribute P1_ace numeric
@attribute P2_ace numeric
@attribute P1_df numeric
@attribute P2_df numeric
@attribute P1_svpt numeric
@attribute P2_svpt numeric
@attribute P1_1stIn numeric
@attribute P2_1stIn numeric
@attribute P1_1stWon numeric
@attribute P2_1stWon numeric
@attribute P1_2ndWon numeric
@attribute P2_2ndWon numeric
@attribute P1_SvGms numeric
@attribute P2_SvGms numeric
@attribute P1_bpSaved numeric
@attribute P2_bpSaved numeric
@attribute P1_rank numeric
@attribute P2_rank numeric
@attribute P1_bpFaced numeric
@attribute P2_bpFaced numeric
@attribute WINNER {P1,P2}

@data
Clay,L,L,185,?,27.78,18.86,3,0,0,8,61,80,42,44,33,27,10,13,12,13,1,5,57,135,3,11,P1
Clay,R,R,?,180,22.38,27.66,4,3,1,0,80,93,46,58,34,39,19,22,14,15,3,9,73,91,6,12,P1
Clay,R,L,?,?,25.16,23.74,14,9,6,3,86,95,53,58,41,41,13,20,14,14,4,14,225,125,7,17,P1
Clay,R,R,178,?,30.76,24.39,0,1,2,1,49,61,33,44,26,25,9,6,9,10,1,8,20,194,2,13,P1
Clay,R,L,188,190,34.73,27.39,6,9,7,5,113,108,66,68,49,51,21,17,16,16,9,6,67,65,12,9,P1
Clay,R,R,180,?,32.15,21.79,3,5,5,0,61,69,35,42,32,28,13,16,11,11,0,4,31,143,1,6,P1
Clay,R,R,188,183,30.79,35.06,6,3,2,1,65,56,36,32,29,22,17,12,11,11,5,0,49,131,6,3,P1
Clay,R,R,178,?,34.06,25.53,1,2,0,0,56,57,42,34,29,22,10,12,9,9,1,3,106,96,1,6,P1
Clay,L,R,188,193,32.84,31.49,2,16,2,3,96,73,67,53,46,42,16,8,14,13,8,0,69,35,9,2,P1
Clay,R,L,?,185,22.38,27.78,10,14,1,3,107,105,74,63,55,52,18,20,17,17,1,2,73,57,3,5,P1
Clay,L,R,188,?,30.11,25.16,14,4,4,2,66,60,39,43,36,27,9,10,10,9,4,2,22,225,4,4,P1
Clay,R,R,178,188,30.76,34.73,3,4,2,6,55,52,32,31,25,23,13,7,9,9,2,1,20,67,2,4,P1
Clay,R,R,180,188,32.15,30.79,6,7,2,1,112,118,75,65,58,50,23,30,16,16,1,5,31,49,2,8,P1
Clay,L,R,188,178,32.84,34.06,11,3,5,3,90,99,62,64,42,41,15,18,15,15,5,3,69,106,7,8,P1
Clay,R,L,?,188,22.38,30.11,15,3,4,2,121,109,79,76,62,55,25,21,17,17,9,2,73,22,10,4,P1
Clay,R,R,178,180,30.76,32.15,3,1,0,2,52,56,28,38,21,23,17,10,9,9,3,4,20,31,3,7,P1
Clay,R,L,?,188,22.38,32.84,20,9,2,0,86,97,58,67,50,52,18,15,16,16,0,6,73,69,0,8,P1
Clay,R,R,178,?,30.76,22.38,2,6,0,2,72,73,49,45,30,31,14,11,12,12,5,4,20,73,8,8,P1
Hard,R,R,?,193,26.07,32.06,0,2,1,2,53,68,24,38,15,24,23,11,9,10,2,4,65,68,3,8,P1
Hard,R,R,175,?,30.18,22.76,2,1,0,1,61,49,35,28,30,17,10,7,9,8,6,2,126,90,7,6,P1
Hard,R,R,188,183,26.97,33.19,14,1,10,2,135,114,85,82,65,55,21,16,17,16,6,2,93,70,8,5,P1
Hard,R,R,193,188,31.51,30.27,6,1,2,5,58,61,34,33,23,20,13,11,9,9,2,2,42,78,3,6,P1
Hard,R,L,?,?,25.1,22.53,5,2,3,6,80,78,53,44,37,33,11,12,12,11,1,5,109,111,3,8,P1
Hard,R,R,188,173,30.81,37.59,7,2,6,2,81,82,41,52,32,33,21,13,14,13,4,3,47,153,7,8,P1
Hard,R,R,?,185,26.62,26.03,5,0,0,2,28,41,14,20,13,14,11,10,6,6,0,3,59,83,0,5,P1
Hard,R,R,?,?,19.04,27.86,1,9,1,9,111,113,57,64,38,50,38,26,16,17,1,4,141,56,3,5,P1
Hard,R,R,185,183,28.93,35.69,7,3,3,13,101,122,58,54,36,33,20,32,16,16,4,11,85,95,10,17,P1
Hard,R,R,?,193,17.57,27.7,11,2,2,2,64,67,35,31,27,20,20,22,10,10,3,2,169,75,3,4,P1
Hard,R,R,175,185,32.92,28.64,2,7,4,9,59,56,35,27,27,21,12,12,10,10,2,2,97,50,4,6,P1
Hard,R,L,183,?,32.71,22.44,15,2,5,5,95,95,59,63,39,36,16,15,17,16,3,7,102,255,9,13,P1
Hard,R,R,183,190,25.67,36.12,3,1,4,5,69,71,44,39,28,21,12,12,10,11,5,5,110,101,8,11,P1
Hard,L,R,190,183,30.54,30.19,5,2,2,2,78,91,43,52,36,31,19,17,13,13,3,5,53,89,5,10,P1
Hard,R,R,?,?,21.67,20.12,5,5,1,0,62,55,30,33,21,23,21,10,11,10,1,2,117,64,2,5,P1
Hard,R,L,?,190,28.77,27.54,0,8,1,1,66,60,44,40,33,29,13,9,10,10,1,1,77,166,1,3,P1
Hard,R,R,185,?,27.82,21.79,3,8,2,2,83,92,52,51,36,35,18,23,14,14,5,2,76,41,9,5,P1
Hard,R,L,?,?,25.55,24.65,1,4,3,6,71,56,41,33,29,25,22,12,11,10,3,2,94,63,3,4,P1
Hard,R,R,?,188,22.06,28.19,10,2,4,1,61,66,38,33,33,24,12,20,11,11,1,3,57,52,2,5,P1
Hard,L,R,188,173,32.85,29.46,5,9,2,4,104,110,57,54,38,42,29,23,17,17,2,5,66,40,6,10,P1
Hard,R,L,?,185,21.4,25.94,5,0,5,3,90,83,48,57,37,38,23,12,14,13,1,2,48,200,2,5,P1
Hard,R,L,?,183,21.3,28.62,6,1,2,2,44,42,23,25,18,11,13,6,7,7,0,0,49,99,0,5,P1
Hard,R,U,?,?,20.35,20.52,5,19,3,10,119,100,74,55,52,46,30,27,16,16,8,5,74,199,9,6,P1
Hard,L,L,188,185,34.3,27.8,3,9,1,1,61,69,46,50,32,31,8,11,11,12,1,1,39,60,3,5,P1
Hard,R,R,?,?,19.56,28.31,4,0,2,6,67,59,39,38,28,24,15,6,10,10,7,1,71,88,9,5,P1
Hard,L,R,?,175,18.89,27.7,6,0,7,5,53,52,25,29,22,21,17,10,10,9,0,3,44,106,1,6,P1
Hard,R,R,180,185,27.68,30.34,1,7,1,2,64,62,40,34,28,25,16,12,10,10,4,1,91,103,5,4,P1
Hard,L,R,?,208,22.72,39.01,20,25,2,7,112,103,62,70,54,61,38,22,17,16,2,3,73,80,2,4,P1
Hard,R,R,188,185,31.06,36.21,12,3,2,8,71,82,38,42,31,29,16,20,11,11,2,5,100,58,4,8,P1
Hard,R,R,180,193,29.72,27.38,1,25,6,3,124,129,70,66,57,50,33,37,18,18,4,5,134,81,6,7,P1
Hard,R,R,?,196,24.14,28.82,1,15,2,13,82,92,47,47,32,38,15,16,13,14,2,5,231,46,6,9,P1
Hard,L,R,190,183,27.41,25.83,3,4,8,4,107,88,65,51,47,37,16,13,15,15,8,6,67,54,12,12,P1
Hard,R,R,198,?,29.43,26.07,2,2,1,4,65,71,29,34,21,23,26,18,11,10,2,8,3,65,2,10,P1
Hard,R,R,178,175,34.38,30.18,0,4,0,2,86,87,52,44,39,29,14,24,13,14,5,3,37,126,8,6,P1
Hard,R,L,188,193,26.97,34.82,5,6,3,3,63,51,45,26,33,19,12,10,11,10,3,0,93,27,4,3,P1
Hard,R,R,193,206,31.51,32.86,8,15,5,3,121,107,81,68,62,55,24,23,18,18,7,2,42,18,7,3,P1
Hard,R,R,?,188,25.1,30.79,1,4,8,4,107,94,52,60,37,39,28,18,15,14,5,8,109,13,7,11,P1
Hard,R,L,188,?,30.81,30.14,8,2,2,0,44,47,29,34,24,18,12,7,9,8,0,3,47,113,0,6,P1
Hard,R,R,175,?,35.92,26.62,2,3,1,3,77,76,47,53,32,30,19,13,10,10,6,7,33,59,7,10,P1
Hard,R,R,198,?,29.45,19.04,5,0,0,3,47,47,29,26,21,11,12,9,8,7,2,4,8,141,3,9,P1
Hard,R,R,185,198,28.93,20.87,1,14,4,1,100,100,52,58,39,40,26,24,17,17,4,6,85,5,7,10,P1
Hard,R,R,196,?,27.19,17.57,9,2,3,4,50,56,32,27,26,17,11,16,10,10,3,2,38,169,4,5,P1
Hard,R,R,175,?,32.92,23.15,3,2,0,3,66,66,37,33,28,18,12,17,10,10,3,5,97,24,5,9,P1
Hard,R,R,183,170,32.71,25.55,3,2,1,4,68,64,38,27,29,19,13,16,11,11,5,3,102,17,8,8,P1
Hard,R,R,183,185,25.67,24.03,2,6,1,1,59,66,44,39,32,22,8,15,10,10,2,3,110,12,4,7,P1
Hard,R,L,198,190,30.41,30.54,14,6,2,2,81,73,47,50,37,36,18,13,11,11,5,5,21,53,5,7,P1
Hard,L,R,188,?,36.45,21.67,16,5,1,6,49,62,30,36,26,26,12,11,9,10,0,3,32,117,0,6,P1
Hard,R,R,185,?,25.44,28.77,7,0,1,4,59,62,35,37,28,26,14,8,10,10,1,4,10,77,2,8,P1
Hard,R,R,203,185,31.8,27.82,17,4,0,4,56,66,42,33,35,26,10,17,11,11,0,3,9,76,0,5,P1
Hard,R,R,?,172,25.55,25.79,4,0,4,2,83,72,52,41,35,21,16,13,13,12,7,3,94,30,10,9,P1
Hard,R,U,?,?,22.06,21.89,6,7,5,5,124,108,66,61,45,45,34,23,17,17,10,6,57,108,12,10,P1
Hard,R,L,188,188,26.65,32.85,10,4,3,4,93,115,59,67,44,47,20,23,15,15,5,12,14,66,7,14,P1
Hard,R,R,183,?,29.89,21.4,2,3,1,3,55,55,33,28,22,17,15,13,9,9,2,0,16,48,3,4,P1
Hard,R,L,?,188,21.3,30.13,2,2,1,5,42,56,24,32,19,18,11,9,7,8,2,5,49,22,2,10,P1
Hard,R,R,?,?,20.35,20.37,9,1,0,6,78,71,49,41,33,28,11,10,11,11,3,4,74,31,6,8,P1
Hard,L,R,188,188,34.3,26.8,12,2,7,3,94,96,58,61,45,41,19,19,16,15,7,0,39,4,10,3,P1
Hard,R,R,185,?,24.5,19.56,10,4,2,5,64,94,38,50,31,32,17,21,13,13,1,7,6,71,3,11,P1
Hard,R,L,180,?,32.17,18.89,2,10,2,2,78,72,58,42,44,30,10,13,11,10,4,3,34,44,5,5,P1
Hard,R,R,?,180,21.79,27.68,4,3,8,2,121,116,71,80,46,45,22,15,15,15,10,15,26,91,15,23,P1
Hard,R,L,196,?,32.46,22.72,7,2,2,3,58,45,33,17,29,12,11,11,9,8,2,3,15,73,3,7,P1
Hard,R,R,188,178,31.06,30.78,14,3,10,5,116,113,68,63,50,39,19,30,16,16,10,9,100,19,14,13,P1
Hard,L,R,183,180,29.68,29.72,5,0,2,0,58,61,35,40,28,24,10,7,9,8,1,8,23,134,2,12,P1
Hard,R,R,185,?,26.02,24.14,3,2,0,2,53,44,33,23,25,15,11,8,8,8,3,1,28,231,3,5,P1
Hard,R,L,185,190,36.57,27.41,5,2,1,2,82,71,53,33,39,24,16,23,11,10,3,0,1,67,3,1,P1
Hard,R,R,178,198,34.38,29.43,2,5,0,2,65,45,37,23,28,19,18,14,10,10,4,0,37,3,4,2,P1
Hard,R,R,188,193,26.97,31.51,1,0,2,4,44,36,23,24,18,11,9,5,6,6,3,2,93,42,4,6,P1
Hard,R,R,188,?,30.81,25.1,7,0,2,1,48,50,29,28,24,14,13,15,9,8,0,3,47,109,0,6,P1
Hard,R,R,198,175,29.45,35.92,6,4,2,1,67,83,45,47,39,34,11,21,11,11,1,15,8,33,1,16,P1
Hard,R,R,196,185,27.19,28.93,12,7,10,7,81,102,42,65,39,48,19,12,15,15,1,7,38,85,3,11,P1
Hard,R,R,183,175,32.71,32.92,9,1,5,7,71,102,32,61,22,33,14,15,11,11,4,6,102,97,10,13,P1
Hard,R,R,198,183,30.41,25.67,17,4,6,6,91,121,48,78,40,52,21,19,16,16,1,11,21,110,3,15,P1
Hard,L,R,188,185,36.45,25.44,15,13,6,6,101,110,61,68,47,52,23,23,16,16,4,5,32,10,5,6,P1
Hard,R,R,203,?,31.8,25.55,22,1,3,1,94,80,64,47,49,36,18,19,12,12,3,2,9,94,3,2,P1
Hard,R,R,188,?,26.65,22.06,6,8,3,6,79,61,51,41,36,29,14,5,10,9,11,4,14,57,12,8,P1
Hard,R,R,?,183,21.3,29.89,6,1,1,1,54,47,32,23,23,9,10,8,8,8,4,2,49,16,6,8,P1
Hard,R,L,?,188,20.35,34.3,4,7,2,10,92,90,64,52,50,39,13,19,15,15,2,5,74,39,4,8,P1
Hard,R,R,180,185,32.17,24.5,3,5,3,4,68,74,45,35,32,25,17,25,12,13,4,3,34,6,5,5,P1
Hard,R,R,?,196,21.79,32.46,7,12,4,1,60,57,37,32,27,25,13,11,10,10,3,2,26,15,4,5,P1
Hard,R,L,188,183,31.06,29.68,11,7,5,10,75,101,48,67,42,45,14,15,15,14,0,8,100,23,1,11,P1
Hard,R,R,185,185,36.57,26.02,6,0,1,4,42,51,27,27,24,14,8,7,8,7,2,3,1,28,3,8,P1
Hard,R,R,178,188,34.38,26.97,3,6,0,6,68,60,54,43,40,32,8,9,11,11,3,1,37,93,4,3,P1
Hard,R,R,198,188,29.45,30.81,6,8,3,2,89,110,56,67,43,48,18,22,14,16,5,7,8,47,7,10,P1
Hard,R,R,196,183,27.19,32.71,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,38,102,?,?,P1
Hard,R,L,198,188,30.41,36.45,14,4,1,3,53,61,30,39,24,26,14,8,10,9,0,3,21,32,1,6,P1
Hard,R,R,203,188,31.8,26.65,16,2,2,1,86,94,50,60,43,44,27,23,16,15,2,5,9,14,3,6,P1
Hard,R,R,?,?,21.3,20.35,9,5,1,3,81,93,57,49,45,38,15,19,15,15,1,4,49,74,3,9,P1
Hard,R,R,?,180,21.79,32.17,3,3,3,6,57,49,33,29,24,16,13,5,8,8,2,5,26,34,4,11,P1
Hard,R,R,185,188,36.57,31.06,2,4,0,4,49,78,25,52,25,37,19,10,11,11,0,3,1,100,0,5,P1
Hard,R,R,198,178,29.45,34.38,5,2,0,1,84,94,57,62,43,40,13,16,14,14,5,10,8,37,7,13,P1
Hard,R,R,196,198,27.19,30.41,17,9,6,1,93,74,61,37,45,27,15,24,15,14,6,2,38,21,9,5,P1
Hard,R,R,?,203,21.3,31.8,4,16,5,4,100,88,61,56,39,46,27,16,15,15,6,4,49,9,9,6,P1
Hard,R,R,185,?,36.57,21.79,12,0,1,3,69,58,46,30,32,16,13,15,10,9,5,3,1,26,6,7,P1
Hard,R,R,198,196,29.45,27.19,3,6,1,2,40,45,27,27,24,17,8,7,8,9,0,1,8,38,0,5,P1
Hard,R,R,185,?,36.57,21.3,5,3,1,2,88,96,53,61,36,39,21,17,16,16,2,6,1,49,6,11,P1
Hard,R,R,198,185,29.45,36.57,8,10,1,5,115,115,72,70,54,52,29,24,17,17,3,3,8,1,4,5,P1
Hard,R,R,188,?,27,20.39,3,4,4,2,81,74,56,45,43,30,12,16,11,11,4,1,81,71,5,3,P1
Hard,R,R,193,208,27.74,39.05,5,15,5,8,75,74,54,40,44,37,12,17,12,12,1,2,77,79,2,3,P1
Hard,R,L,183,185,35.73,27.84,2,6,6,5,99,81,65,48,41,33,19,16,12,12,10,4,102,61,13,7,P1
Hard,L,R,?,185,24.69,30.37,8,7,6,6,74,74,41,36,31,24,16,16,11,10,7,9,64,104,9,12,P1
Hard,R,R,?,?,20.19,21.87,3,13,9,3,89,76,63,47,48,36,9,14,15,15,2,1,176,284,5,5,P1
Hard,R,R,188,183,30.31,33.22,7,4,5,1,116,105,72,61,54,36,20,25,17,16,11,6,76,72,14,11,P1
Hard,R,R,?,183,21.44,32.75,2,3,6,4,84,64,41,32,33,22,20,17,10,9,8,3,49,82,8,5,P1
Hard,R,R,185,183,28.97,25.86,4,9,0,5,79,86,41,51,32,38,26,20,12,12,4,4,80,53,5,5,P1
Hard,L,R,?,?,22.76,26.11,2,5,0,3,53,58,38,28,29,19,6,15,10,10,0,5,73,60,2,9,P1
Hard,R,R,188,178,31.1,34.12,10,2,4,3,66,67,41,42,33,30,16,12,11,10,6,5,90,115,7,7,P1
Hard,R,R,?,?,19.52,27.9,3,6,4,4,83,84,54,39,37,29,17,19,14,14,2,2,407,56,5,7,P1
Hard,R,L,?,?,22.44,22.57,8,3,3,7,68,69,45,34,35,26,13,14,10,10,2,2,65,105,2,4,P1
Hard,R,L,196,190,28.86,30.57,8,7,6,5,69,81,30,45,21,30,22,16,11,11,3,8,47,55,5,12,P1
Hard,L,R,?,?,24.2,24.67,2,1,4,3,82,65,45,33,33,23,17,17,10,11,2,2,169,109,4,6,P1
Hard,R,R,183,185,28.76,28.68,0,5,4,4,90,86,66,44,44,32,12,22,14,14,3,5,96,50,6,8,P1
Hard,R,R,190,173,30.95,29.5,8,1,6,7,89,90,46,54,39,36,19,14,13,13,8,7,44,43,10,11,P1
Hard,R,R,183,?,25.71,26.69,2,0,2,4,66,79,45,45,26,25,15,17,10,11,5,8,107,75,7,13,P1
Hard,R,L,188,183,30.84,28.65,6,2,3,7,92,90,64,52,43,33,13,18,14,13,7,4,45,110,10,8,P1
Hard,L,R,?,193,18.93,32.1,7,2,9,3,124,93,73,51,52,36,27,23,17,16,11,3,46,68,14,7,P1
Hard,R,R,?,175,28.35,27.74,5,2,3,1,96,112,61,75,43,48,19,15,15,14,4,10,93,103,8,15,P1
Hard,R,R,?,?,18,25.89,3,2,3,3,80,76,41,47,30,31,21,14,11,11,6,6,211,172,7,8,P1
Hard,R,L,180,188,27.72,32.89,5,7,1,3,85,104,51,66,36,48,21,16,15,16,0,3,108,66,3,6,P1
Hard,R,R,185,181,27.86,28.67,1,9,2,2,77,58,48,31,35,26,18,15,11,11,2,2,88,48,2,4,P1
Hard,R,R,?,?,22.1,19.6,6,6,5,2,77,80,39,47,26,35,21,13,13,13,4,8,52,70,7,12,P1
Hard,R,R,185,?,26.07,28.81,2,1,6,1,78,94,43,64,35,40,15,14,14,13,2,6,89,86,6,10,P1
Hard,R,R,193,183,27.42,30.23,11,2,2,3,59,80,40,50,34,37,12,13,11,11,4,3,84,83,5,5,P1
Hard,R,R,?,?,20.16,25.59,5,4,1,2,74,63,45,45,34,32,19,8,11,10,2,6,63,87,3,8,P1
Hard,L,R,?,?,22.48,19.08,0,2,2,3,53,56,31,35,20,17,15,10,9,9,2,2,374,130,4,7,P1
Hard,R,R,188,?,31.53,18.55,5,1,1,2,57,92,31,52,27,34,10,19,11,11,1,7,85,179,3,11,P1
Hard,R,R,188,173,28.23,37.63,6,4,3,6,55,65,30,39,24,24,14,12,9,9,3,6,54,152,4,10,P1
Hard,R,R,188,?,34.79,26.66,3,10,11,0,94,81,48,53,40,42,22,14,12,12,3,2,69,58,4,3,P1
Hard,R,R,?,?,21.94,23.14,2,11,4,4,55,45,30,28,26,18,12,5,8,7,3,1,175,150,3,5,P1
Hard,R,R,198,188,29.47,27,6,6,3,3,57,83,34,57,29,32,10,14,10,11,2,10,3,81,3,14,P1
Hard,R,R,193,?,27.74,20.41,4,1,6,6,83,79,45,50,31,31,22,17,11,11,7,6,77,34,9,9,P1
Hard,R,L,183,193,35.73,34.86,2,15,4,5,85,87,54,49,37,42,17,10,14,14,5,7,102,28,8,12,P1
Hard,R,L,206,?,32.9,24.69,14,7,3,5,86,88,57,58,44,42,13,17,14,14,2,2,17,64,4,3,P1
Hard,R,R,?,183,20.19,29.93,4,6,7,2,122,97,80,58,48,41,18,18,15,15,12,4,176,15,18,9,P1
Hard,R,R,?,188,21.83,30.31,5,5,1,5,57,67,32,39,25,28,18,12,10,11,4,3,23,76,4,6,P1
Hard,R,L,?,188,21.44,36.49,6,11,5,7,52,50,31,27,24,23,14,8,9,9,0,2,49,32,0,5,P1
Hard,R,R,185,163,28.97,27.28,2,2,1,3,48,50,23,19,21,9,10,8,7,6,4,7,80,9,5,13,P1
Hard,R,L,188,?,26.84,22.76,4,1,4,2,81,66,39,35,33,25,25,15,13,12,5,1,4,73,6,5,P1
Hard,R,R,188,185,31.1,31.75,9,3,3,5,50,71,33,38,27,21,5,11,10,9,1,9,90,37,4,15,P1
Hard,R,R,196,?,27.23,19.52,16,4,2,5,52,57,36,32,28,22,11,11,9,9,2,1,25,407,2,4,P1
Hard,R,R,170,?,25.59,22.44,3,4,5,3,63,64,31,40,22,20,19,10,8,8,6,8,16,65,7,13,P1
Hard,R,R,196,188,28.86,30.83,9,2,2,3,48,55,32,34,24,18,10,13,9,10,0,4,47,12,1,8,P1
Hard,R,L,185,?,26.06,24.2,1,3,1,3,50,57,30,35,14,17,16,7,8,9,3,1,27,169,5,7,P1
Hard,R,R,178,183,28.22,28.76,3,9,8,5,117,119,63,73,41,48,32,23,16,15,9,8,33,96,12,11,P1
Hard,R,R,198,190,29.48,30.95,5,3,1,6,84,104,52,53,41,36,17,26,15,15,3,2,6,44,5,6,P1
Hard,R,R,185,183,25.48,25.71,4,2,5,3,66,71,35,43,21,24,21,13,11,10,3,4,11,107,6,8,P1
Hard,R,R,?,188,21.34,30.84,5,10,4,8,112,107,70,54,56,42,20,25,16,15,8,4,36,45,9,7,P1
Hard,L,R,?,172,18.93,25.83,8,1,5,5,60,59,37,36,30,21,11,7,10,9,3,4,46,30,5,9,P1
Hard,R,R,198,?,30.45,28.35,8,0,1,3,63,52,29,42,23,26,22,6,10,9,2,0,14,93,3,3,P1
Hard,R,R,178,?,30.82,18,3,0,2,2,50,48,35,20,22,9,11,14,9,9,3,2,18,211,5,7,P1
Hard,R,R,193,180,22.89,27.72,7,3,0,2,37,51,25,30,22,21,10,7,8,9,0,1,20,108,0,5,P1
Hard,R,R,175,185,35.96,27.86,0,0,0,1,64,42,37,23,28,10,13,10,8,8,5,2,35,88,5,6,P1
Hard,R,R,198,?,20.91,22.1,7,8,5,5,101,104,66,65,47,44,16,22,14,15,8,6,5,52,11,8,P1
Hard,R,R,203,185,31.84,26.07,16,5,1,7,57,79,34,41,30,28,12,16,10,9,3,7,8,89,4,10,P1
Hard,R,R,?,193,21.83,27.42,1,6,1,4,58,63,37,35,30,26,14,13,11,10,1,6,41,84,2,9,P1
Hard,R,R,?,?,20.16,23.19,15,7,4,4,114,113,81,75,63,61,16,16,17,17,8,3,63,26,10,4,P1
Hard,R,L,196,?,32.5,22.48,4,0,2,6,48,82,28,44,25,30,11,13,9,8,0,8,13,374,0,11,P1
Hard,R,R,188,188,26.69,31.53,2,0,1,0,30,40,22,23,16,6,6,5,6,7,0,2,19,85,1,9,P1
Hard,R,L,188,183,28.23,29.72,7,1,1,0,55,53,33,36,26,23,13,7,9,9,2,2,54,22,2,5,P1
Hard,L,R,188,188,34.34,34.79,5,2,2,8,64,83,40,46,28,28,13,11,12,12,1,5,39,69,4,12,P1
Hard,R,R,?,185,21.94,36.61,7,9,7,3,110,84,57,55,44,45,29,16,15,15,4,2,175,1,5,3,P1
Hard,R,R,198,193,29.47,27.74,6,5,3,6,74,95,41,54,35,40,20,21,12,12,3,9,3,77,3,10,P1
Hard,R,R,206,183,32.9,35.73,9,0,2,6,59,59,36,38,30,25,11,10,10,9,2,6,17,102,3,9,P1
Hard,R,R,?,?,21.83,20.19,3,3,6,5,47,40,25,21,21,11,11,5,7,7,2,1,23,176,2,6,P1
Hard,R,R,185,?,28.97,21.44,6,4,8,3,77,90,44,41,32,26,16,29,13,13,2,6,80,49,5,9,P1
Hard,R,R,188,188,31.1,26.84,5,3,5,1,57,69,32,47,28,29,14,14,10,10,1,5,90,4,1,7,P1
Hard,R,R,196,170,27.23,25.59,10,0,2,1,62,67,35,48,29,35,16,10,10,11,3,4,25,16,3,6,P1
Hard,R,R,185,196,26.06,28.86,2,9,1,5,52,68,38,33,28,23,8,13,9,9,1,6,27,47,2,10,P1
Hard,R,R,198,178,29.48,28.22,6,2,1,1,43,58,30,36,23,20,10,10,8,8,1,9,6,33,1,13,P1
Hard,R,R,?,185,21.34,25.48,3,2,6,7,94,122,52,81,41,51,22,19,16,17,5,13,36,11,9,18,P1
Hard,L,R,?,198,18.93,30.45,4,4,12,5,119,97,51,40,37,34,32,26,15,16,9,2,46,14,12,6,P1
Hard,R,R,193,178,22.89,30.82,9,2,5,5,55,48,29,21,22,18,16,12,9,9,0,2,20,18,0,5,P1
Hard,R,R,198,175,20.91,35.96,6,1,2,7,66,79,42,38,32,26,10,18,13,13,2,3,5,35,6,8,P1
Hard,R,R,203,?,31.84,21.83,8,7,1,2,72,83,40,46,33,36,22,16,14,13,1,1,8,41,2,4,P1
Hard,R,R,?,196,20.16,32.5,7,9,6,2,114,106,60,56,42,40,30,27,16,16,5,6,63,13,7,10,P1
Hard,R,R,188,188,26.69,28.23,4,2,2,4,56,60,37,27,29,19,12,17,10,10,3,2,19,54,4,5,P1
Hard,L,R,188,?,34.34,21.94,13,9,8,0,112,110,65,65,52,49,21,20,16,15,3,6,39,175,6,8,P1
Hard,R,R,206,198,32.9,29.47,12,3,0,0,66,60,48,35,41,23,9,18,11,10,0,1,17,3,0,2,P1
Hard,R,R,?,185,21.83,28.97,0,3,1,1,47,54,29,37,24,26,13,7,9,10,1,2,23,80,1,5,P1
Hard,R,R,196,188,27.23,31.1,12,4,3,1,52,63,33,34,28,24,10,14,9,10,0,5,25,90,0,8,P1
Hard,R,R,198,185,29.48,26.06,7,1,1,2,56,58,36,34,28,22,11,9,9,9,3,3,6,27,4,7,P1
Hard,R,L,?,?,21.34,18.93,1,6,3,6,83,96,59,49,47,34,14,31,16,16,4,7,36,46,7,10,P1
Hard,R,R,198,193,20.91,22.89,5,11,3,1,51,65,40,40,32,24,7,13,10,10,2,1,5,20,3,4,P1
Hard,R,R,203,?,31.84,20.16,9,4,4,1,79,62,42,40,33,27,17,12,11,11,7,3,8,63,9,6,P1
Hard,R,L,188,188,26.69,34.34,2,2,2,4,62,58,39,28,24,15,13,11,8,7,6,7,19,39,7,12,P1
Hard,R,R,206,?,32.9,21.83,13,3,0,4,45,60,32,38,31,25,6,9,9,8,1,4,17,23,1,7,P1
Hard,R,R,198,196,29.48,27.23,6,18,3,5,109,106,78,71,59,52,16,19,18,18,3,1,6,25,6,3,P1
Hard,R,R,198,?,20.91,21.34,8,2,0,0,53,66,36,46,30,27,11,15,10,10,2,6,5,36,2,8,P1
Hard,R,R,188,203,26.69,31.84,6,14,4,4,105,106,71,67,50,47,18,21,17,17,1,7,19,8,4,10,P1
Hard,R,R,206,198,32.9,29.48,13,4,1,3,55,61,35,30,29,21,15,17,10,9,0,1,17,6,0,3,P1
Hard,R,R,198,188,20.91,26.69,10,3,2,3,58,67,40,38,35,25,10,16,10,10,0,2,5,19,0,4,P1
Hard,R,R,206,198,32.9,20.91,18,10,2,6,96,108,66,72,54,52,18,22,16,16,3,10,17,5,3,12,P1
Clay,R,R,?,?,22.49,25.64,8,2,0,2,90,84,56,62,44,48,21,12,15,15,5,2,64,87,6,4,P1
Clay,R,R,170,?,25.64,21.85,3,2,6,8,112,108,63,58,42,37,24,26,16,16,2,6,15,217,6,12,P1
Clay,R,R,170,?,25.64,22.49,0,1,2,1,78,69,49,44,31,20,13,14,10,10,6,5,15,64,9,10,P1
Clay,L,R,185,?,27.89,21.85,10,2,1,2,61,81,34,43,22,25,15,17,11,10,3,5,63,217,6,10,P1
Hard,R,R,?,?,24.61,20.46,6,4,3,0,85,71,61,46,46,31,8,13,11,11,5,4,195,35,7,7,P1
Hard,R,R,?,?,22.15,21.9,8,1,3,2,40,36,30,22,27,10,5,6,8,7,0,0,49,141,0,4,P1
Hard,L,R,183,185,36.87,27.91,7,8,0,0,99,78,73,61,45,46,17,8,14,13,4,4,586,85,5,6,P1
